gene,mean,std,signature,role
SCG2,2.0576363948024836,2.4540020319204086,M,consensus_panel
SCG5,2.189239182435398,2.230835784291535,M,consensus_panel
SCNN1A,2.8031862702250003,2.6405751225755005,E,consensus_panel
SDC1,4.7597887155633805,2.203432552283873,M,consensus_panel
SELENOP,2.5704812776200954,2.3341194018587212,E,consensus_panel
SEMA3C,4.218145264768072,2.3359416974591896,M,consensus_panel
SERPINB1,4.452527374391638,2.0851225556356145,E,consensus_panel
SERPINE1,3.9452206720347056,3.4350607190857594,M,consensus_panel
SERPINE2,5.0407286824147635,2.9582542950694184,M,consensus_panel
SERPINH1,6.611921906011674,2.1158730896850035,M,consensus_panel
SIK1,1.930604112315511,1.3395766631880173,M,consensus_panel
SKIL,3.959376895189064,1.0263886428391695,M,consensus_panel
SLC16A7,1.7347579910671869,1.255114848680242,E,consensus_panel
SLC22A4,1.3443449964505951,1.0828891668186857,M,consensus_panel
SLC26A2,3.327788526891216,1.286643498049264,M,consensus_panel
SLC27A2,1.9220587718331248,1.6863525404495054,E,consensus_panel
SLCO2A1,0.8784906666996564,1.1458039094820782,M,consensus_panel
SLCO4A1,3.4546420260943393,1.7899962289572355,E,consensus_panel
SLN,0.6385217117149938,0.9472483680443289,M,consensus_panel
SLPI,3.8166513781028644,3.3482941014389667,E,consensus_panel
SMAD7,3.284055713883653,1.292508002998895,M,consensus_panel
SMPDL3B,1.6735808121891238,1.5472539291708327,E,consensus_panel
SMURF2,4.183043806242002,1.2474659891077784,M,consensus_panel
SNAI1,1.857874670793003,1.2902652319144985,M,consensus_panel
SNAI2,3.0680894204236244,2.3135649831253575,M,consensus_panel
SORD,4.91097961089057,1.1234653051378312,E,consensus_panel
SOX2,1.4846011069959815,1.930571164106083,E,consensus_panel
SPARC,5.926080586630551,4.190541001610627,M,consensus_panel
SPDL1,5.217742360075626,1.005414511620525,M,consensus_panel
SPHK1,3.2129239083325567,1.7875109737485102,M,consensus_panel
SPOCK1,3.028963071903607,2.769115846124303,M,consensus_panel
SPRY1,2.834326013946073,1.711088764893459,E,consensus_panel
SQOR,3.8959918604481354,2.032132004824388,E,consensus_panel
SRPX,2.8454382822732844,2.4772579970542226,M,consensus_panel
SRRD,4.225247919022688,0.749480886994358,M,consensus_panel
ST14,2.8440726918229697,2.7669294027658653,E,consensus_panel
STC1,2.1417322304845867,2.129372187572437,M,consensus_panel
STOM,4.6597643305831875,2.0761964469380563,E,consensus_panel
SULT1A1,2.540837244314336,1.822172444325925,E,consensus_panel
SYBU,2.093740319112166,1.587769010683036,E,consensus_panel
SYNE2,3.7204937861148015,1.3911921101144713,E,consensus_panel
TAGLN,3.6459416679639323,2.70799929746533,M,consensus_panel
TAGLN2,8.63711592329843,1.4435198654942962,M,consensus_panel
TBC1D8,3.2864349791099476,1.2998186601608708,E,consensus_panel
TBX3,2.5144492264814584,1.890444807847037,M,consensus_panel
TCF4,2.902101835448992,2.1374025260397067,M,consensus_panel
TFAP2A,3.1158793560217264,1.9073274450888589,E,consensus_panel
TFPI2,3.771601293436745,3.059671304928481,M,consensus_panel
TGFB1,4.251528297447353,1.5957657954646576,M,consensus_panel
TGFB1I1,3.3176409849166673,2.220544011294336,M,consensus_panel
TGFBI,5.790785175081374,3.7032316804201426,M,consensus_panel
TGFBR2,4.221692737823598,1.9775075130197182,M,consensus_panel
TGM2,3.601729659667656,2.919295605968355,M,consensus_panel
THBS1,4.863708710162846,3.2730332878059856,M,consensus_panel
TIMP1,6.918094738789226,2.6185241070497804,M,consensus_panel
TIMP2,5.9430657966766605,2.3658072769296923,M,consensus_panel
TIMP3,3.521032937691978,2.9573435099780707,M,consensus_panel
TJP2,4.401985101954625,1.478241660420228,E,consensus_panel
TJP3,1.6646474705326506,1.6326582846996027,E,consensus_panel
TKT,7.852101652239674,0.8457558242166988,E,consensus_panel
TMCC1,3.181533233327516,0.6658821149509112,M,consensus_panel
TMEM30B,2.0175187482885537,2.0818444126430546,E,consensus_panel
